image_name,detected_count,score,level,object_load_penalty,category_penalty,workspace_obstruction_penalty,spatial_overlap_penalty,spatial_dispersion_penalty,alignment_penalty,total_penalty
desk_112_jpg.rf.95c7e4ddbb8c47649f6d52d7493eae48.jpg,15,60,Messy,5,12,18,0,5,0,40
desk_117_jpg.rf.5238d50ff94f3948f723fde1c834a13f.jpg,18,65,Messy,8,12,8,2,5,0,35
desk_118_jpg.rf.cc1f1f1d5fdf38ef77fb2f376b11fd1a.jpg,17,67,Messy,8,10,8,2,5,0,33
desk_124_jpg.rf.7cd5508d41e5234de9bc2d597927dedc.jpg,17,49,Very Messy,8,20,18,0,5,0,51
desk_127_jpg.rf.cd0c8eef8594b0c54aa9f42a4511c984.jpg,16,51,Messy,8,18,18,0,5,0,49
desk_128_jpg.rf.788b3ef21db426e9345e061dce1378dd.jpg,16,51,Messy,8,18,18,0,5,0,49
desk_137_jpg.rf.bb0779eeb418ca68944979d5b7d206f0.jpg,19,37,Very Messy,10,30,18,0,5,0,63
desk_138_jpg.rf.98b93b805e0e4ba402f82aceacc3d6df.jpg,19,39,Very Messy,10,28,18,0,5,0,61
desk_025_jpg.rf.0b5fbe3b4523230abb51bea2816d0e61.jpg,9,84,Slightly Messy,3,4,2,2,5,0,16
desk_051_jpg.rf.c42651f466183af2d2ac60136b11c151.jpg,11,68,Messy,3,12,12,0,5,0,32
desk_062_jpg.rf.bd7c31807c2fbb09fa16eb5eb177d4be.jpg,14,66,Messy,5,16,8,0,5,0,34
desk_074_jpg.rf.e14db0a43db053af4c67efd101308822.jpg,23,51,Messy,10,16,18,0,5,0,49
desk_088_jpg.rf.92c5fecc1d5176a1981754401ced4304.jpg,19,45,Very Messy,10,20,18,2,5,0,55
desk_123_jpg.rf.b303f5605e617b9ace565d0178407704.jpg,19,45,Very Messy,10,20,18,2,5,0,55
desk_135_jpg.rf.189d1fe43d39b4b0abf5acdace394544.jpg,20,39,Very Messy,10,28,18,0,5,0,61
desk_139_jpg.rf.424dda09868d88a213402f2003085ee8.jpg,19,39,Very Messy,10,28,18,0,5,0,61
